X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399272.369999997,136594.949999999,25136992,2025/09/09 01:39:15+00,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF MASSACHUSETTS AVENUE NE,399272.37,136594.95,6,6C,1.0,102.0,Cluster 25,010603 1,10603.0,Precinct 144,38.8972039407,-77.0083879302,CAPITOL HILL,2025/09/07 23:51:00+00,2025/09/08 00:51:00+00,809901832,
397162.060000002,140182.43,25145179,2025/09/22 23:53:11+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3.0,302.0,Cluster 2,002802 1,2802.0,Precinct 39,38.9295168861,-77.0327298633,,2025/09/22 22:31:00+00,2025/09/22 23:15:00+00,809901854,
398185.289999999,138225.329999998,25136413,2025/09/06 21:59:58+00,EVENING,OTHERS,ROBBERY,1600 - 1699 BLOCK OF MARION STREET NW,398185.29,138225.33,2,2G,3.0,308.0,Cluster 7,004801 1,4801.0,Precinct 18,38.9118894038,-77.0209238144,,2025/09/06 19:20:00+00,2025/09/06 20:26:00+00,809901872,
392778.880000003,143461.600000001,25137571,2025/09/09 02:19:15+00,EVENING,OTHERS,THEFT F/AUTO,4217 - 4299 BLOCK OF JENIFER STREET NW,392778.88,143461.6,3,3E,2.0,202.0,Cluster 11,001100 2,1100.0,Precinct 32,38.9590314802,-77.0833154217,,2025/09/05 15:15:00+00,2025/09/05 15:30:00+00,809901873,
404600.899899997,136168.3774,25143221,2025/09/19 12:45:05+00,DAY,OTHERS,THEFT/OTHER,300 - 499 BLOCK OF 40TH STREET NE,404600.899906223,136168.377435795,7,7F,6.0,603.0,Cluster 32,009603 2,9603.0,Precinct 102,38.8933494806,-76.9469648801,,2025/09/19 11:44:00+00,2025/09/19 12:22:00+00,809901991,
397920.270000003,137620.98,25423940,2025/09/10 13:31:23+00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF 9TH STREET NW,397920.27,137620.98,2,2G,3.0,307.0,Cluster 7,004902 2,4902.0,Precinct 129,38.9064446244,-77.023977695,,2025/09/09 16:00:00+00,2025/09/09 20:00:00+00,809902071,
401839.367899999,130997.597399998,25137747,2025/09/09 14:23:10+00,DAY,OTHERS,THEFT F/AUTO,3300 - 3399 BLOCK OF 18TH STREET SE,401839.36790366,130997.597430996,8,8C,7.0,704.0,Cluster 38,007403 1,7403.0,Precinct 116,38.8467791152,-76.9788112202,,2025/09/06 22:45:00+00,2025/09/07 11:00:00+00,809902532,
401388.659999996,137908.699999999,25147330,2025/09/26 22:23:35+00,EVENING,OTHERS,BURGLARY,1200 - 1299 BLOCK OF SIMMS PLACE NE,401388.66,137908.7,5,5D,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 78,38.9090378691,-76.9839892311,,2025/09/26 18:50:00+00,2025/09/26 19:30:00+00,809902554,
399950.539999999,139686.149999999,25138961,2025/09/11 16:16:32+00,DAY,OTHERS,MOTOR VEHICLE THEFT,2700 - 2799 BLOCK OF 4TH STREET NE,399950.54,139686.15,5,5F,5.0,502.0,Cluster 21,009204 1,9204.0,Precinct 74,38.9250508219,-77.0005703847,,2025/09/11 15:51:00+00,,809902698,
397029.060000002,140633.18,25146229,2025/09/24 21:22:12+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1509 BLOCK OF MERIDIAN PLACE NW,397029.06,140633.18,1,1A,4.0,408.0,Cluster 2,002801 1,2801.0,Precinct 41,38.9335769402,-77.0342656988,,2025/09/24 20:49:00+00,,809902766,
406370.609999999,136443.129999999,25135858,2025/09/05 20:58:20+00,EVENING,OTHERS,THEFT F/AUTO,EADS STREET NE AND DIVISION AVENUE NE,406370.60998787,136443.13001205,7,7C,6.0,602.0,Cluster 31,007808 1,7808.0,Precinct 95,38.8958135088,-76.9265626815,,2025/09/03 12:00:00+00,2025/09/04 12:00:00+00,809902773,
398010.310000002,138697.329999998,25135533,2025/09/05 07:02:56+00,MIDNIGHT,OTHERS,BURGLARY,1900 - 1999 BLOCK OF 8TH STREET NW,398010.31,138697.33,1,1B,3.0,305.0,Cluster 3,004402 2,4402.0,Precinct 137,38.9161409594,-77.0229427215,,2025/09/05 04:55:00+00,2025/09/05 06:30:00+00,809902782,
397830.539999999,140337.739999998,25136810,2025/09/07 17:37:38+00,DAY,OTHERS,MOTOR VEHICLE THEFT,700 - 999 BLOCK OF LAMONT STREET NW,397830.54,140337.74,1,1E,4.0,409.0,Cluster 2,003100 2,3100.0,Precinct 38,38.9309178712,-77.0250207981,,2025/09/07 16:51:00+00,2025/09/07 17:30:00+00,809902783,
398157.109999999,145289.149999999,25141149,2025/09/15 13:57:31+00,DAY,OTHERS,THEFT F/AUTO,7003 - 7099 BLOCK OF PINEY BRANCH ROAD NW,398157.11,145289.15,4,4B,4.0,401.0,Cluster 17,001702 1,1702.0,Precinct 63,38.9755222462,-77.0212677078,,2025/09/06 14:00:00+00,2025/09/06 19:00:00+00,809902856,
397664.0,145007.66,25146033,2025/09/24 15:44:11+00,DAY,OTHERS,THEFT F/AUTO,6800 - 6899 BLOCK OF GEORGIA AVENUE NW,397664.0,145007.66,4,4A,4.0,401.0,Cluster 40,010300 1,10300.0,Precinct 62,38.972985346,-77.0269574403,,2025/09/23 12:00:00+00,2025/09/23 21:00:00+00,809902857,
